"Promotion ID","Advertiser","Advertiser ID","Type","Code","Description","Starts","Ends","Categories","Regions","Terms","Deeplink Tracking","Deeplink","Commission Groups","Commission","Exclusive","Date Added","Title","Campaign"
"4121334","Kabum BR","17729","promotion","","Mouse Gamer Razer Deathadder V3 Pro, 63g Ultraleve, 90hr De Bateria, Recarregável, 30000 Dpi, Branco","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F633612","https://www.kabum.com.br/produto/633612","","","no","22/09/2026 16:23:47","Mouse Gamer Razer Deathadder V3 Pro, 63g Ultraleve, 90hr De Bateria, Recarregável, 30000 Dpi, Branco",""
"4121333","Kabum BR","17729","promotion","","Cabo Usb C Thunderbolt 3 Para Hdmi Ugreen 2.0 4k 60hz 1.5m","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F355752","https://www.kabum.com.br/produto/355752","","","no","22/09/2026 16:23:38","Cabo Usb C Thunderbolt 3 Para Hdmi Ugreen 2.0 4k 60hz 1.5m",""
"4121332","Kabum BR","17729","promotion","","Processador Intel I3-12100f, 3.3ghz, Cache 12mb, Quad Core, 8 Threads, Lga 1700 - Bx8071512100f","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F327442","https://www.kabum.com.br/produto/327442","","","no","22/09/2026 16:23:29","Processador Intel I3-12100f, 3.3ghz, Cache 12mb, Quad Core, 8 Threads, Lga 1700 - Bx8071512100f",""
"4121331","Kabum BR","17729","promotion","","Webcam Ugreen 1080p Full Hd 30fps Usb Microfone Duplo Pc","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F887762","https://www.kabum.com.br/produto/887762","","","no","22/09/2026 16:23:20","Webcam Ugreen 1080p Full Hd 30fps Usb Microfone Duplo Pc",""
"4121330","Kabum BR","17729","promotion","","Impressora Térmica Bematech, Usb, Serial, Ethernet, Não Fiscal - Mp-4200hs","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F519107","https://www.kabum.com.br/produto/519107","","","no","22/09/2026 16:23:12","Impressora Térmica Bematech, Usb, Serial, Ethernet, Não Fiscal - Mp-4200hs",""
"4121329","Kabum BR","17729","promotion","","Fonte Corsair Rm1000e 1000w 80 Plus Gold Modular Pfc Ativo Pcie 5.1 Preta","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F884407","https://www.kabum.com.br/produto/884407","","","no","22/09/2026 16:23:03","Fonte Corsair Rm1000e 1000w 80 Plus Gold Modular Pfc Ativo Pcie 5.1 Preta",""
"4121327","Kabum BR","17729","promotion","","Hd Ssd 240gb 2,5 Sata || 400mb/S Master Drive","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F578726","https://www.kabum.com.br/produto/578726","","","no","22/09/2026 16:22:55","Hd Ssd 240gb 2,5 Sata || 400mb/S Master Drive",""
"4121326","Kabum BR","17729","promotion","","Headset Office Fortrek Fk731a, Usb, Preto","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F575545","https://www.kabum.com.br/produto/575545","","","no","22/09/2026 16:22:45","Headset Office Fortrek Fk731a, Usb, Preto",""
"4121325","Kabum BR","17729","promotion","","Mouse Gamer Razer Deathadder Essential, Com Fio, 6400 Dpi, 5 Botões, Preto","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F154304","https://www.kabum.com.br/produto/154304","","","no","22/09/2026 16:22:36","Mouse Gamer Razer Deathadder Essential, Com Fio, 6400 Dpi, 5 Botões, Preto",""
"4121324","Kabum BR","17729","promotion","","Mouse Com Fio Logitech M90, 1000 Dpi, Design Ambidestro, Plug And Play, Usb, Preto - 910-004053","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F165550","https://www.kabum.com.br/produto/165550","","","no","22/09/2026 16:22:26","Mouse Com Fio Logitech M90, 1000 Dpi, Design Ambidestro, Plug And Play, Usb, Preto - 910-004053",""
